Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,82.503,82.503,82.503,80.9224,79.3418,77.76121,76.18061,74.6,73.3398,72.0796,70.8194,69.5592,68.299,67.6988,67.0986,66.49841,65.89821,65.298,67.238,69.178,71.118,73.05801,74.998,76.0786,77.15919,78.23979,79.32039,80.401,81.0808,81.7606,82.44041,83.12021,83.8,84.9798,86.1596,87.3394,88.5192,89.699,88.9568,88.2146,87.4724,86.73019,85.988,83.906,81.824,79.742,77.66,75.578,74.6212,73.6644,72.7076,71.75079,70.794,69.9616,
Barbados,BRB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,124.927,121.552,118.177,114.5556,110.9342,107.3128,103.6914,100.07,98.554,97.038,95.522,94.006,92.49,87.9342,83.3784,78.82259,74.26679,69.711,69.9228,70.1346,70.3464,70.5582,70.77,66.6038,62.4376,58.2714,54.1052,49.939,51.5292,53.1194,54.7096,56.2998,57.89,56.7118,55.5336,54.3554,53.1772,51.999,51.6996,51.4002,51.1008,50.8014,50.502,50.2896,50.0772,49.8648,49.6524,49.44,49.2294,49.0188,48.8082,48.5976,48.387,47.9974,
Brunei Darussalam,BRN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,86.5598,87.0384,87.517,84.95,82.383,79.81599,77.24899,74.682,70.71,66.738,62.766,58.794,54.822,56.5188,58.2156,59.9124,61.6092,63.306,60.7636,58.2212,55.6788,53.1364,50.594,48.074,45.554,43.034,40.514,37.994,39.2154,40.4368,41.6582,42.8796,44.101,41.0324,37.9638,34.8952,31.8266,28.758,28.2502,27.7424,27.2346,26.7268,26.219,25.9886,25.7582,25.5278,25.2974,25.067,24.6516,24.2362,23.8208,23.4054,22.99,22.628,
Bhutan,BTN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,110.014,109.6302,109.2464,108.8626,108.4788,108.095,108.5812,109.0674,109.5536,110.0398,110.526,108.7124,106.8988,105.0852,103.2716,101.458,99.3276,97.1972,95.0668,92.93639,90.806,86.5368,82.26759,77.99839,73.72919,69.46,65.7432,62.0264,58.3096,54.5928,50.876,48.8866,46.8972,44.9078,42.9184,40.929,40.211,
Botswana,BWA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,159.6744,160.0362,160.398,160.6392,160.8804,161.1216,161.3628,161.604,160.8612,160.1184,159.3756,158.6328,157.89,157.0216,156.1532,155.2848,154.4164,153.548,151.6136,149.6792,147.7448,145.8104,143.876,140.5436,137.2112,133.8788,130.5464,127.214,119.0724,110.9308,102.7892,94.6476,86.506,83.8568,81.2076,78.5584,75.90919,73.26,70.8574,68.4548,66.05219,63.64959,61.247,59.4232,57.5994,55.7756,53.9518,52.128,50.5474,48.9668,47.3862,45.8056,44.225,42.9484,
Central African Republic,CAF,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,171.8128,172.6954,173.578,173.8722,174.1664,174.4606,174.7548,175.049,175.049,175.049,175.049,175.049,175.049,174.2636,173.4782,172.6928,171.9074,171.122,169.7654,168.4088,167.0522,165.6956,164.339,162.7412,161.1434,159.5456,157.9478,156.35,153.7594,151.1688,148.5782,145.9876,143.397,141.5976,139.7982,137.9988,136.1994,134.4,132.0272,129.6544,127.2816,124.9088,122.536,119.3534,116.1708,112.9882,109.8056,106.623,104.9652,103.3074,101.6496,99.99181,98.334,96.7028,
Canada,CAN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,55.6166,54.8488,54.081,52.2786,50.4762,48.6738,46.8714,45.069,43.4946,41.9202,40.34579,38.77139,37.197,35.7988,34.4006,33.0024,31.6042,30.206,29.142,28.078,27.014,25.95,24.886,24.5578,24.2296,23.9014,23.5732,23.245,23.6238,24.0026,24.3814,24.7602,25.139,24.133,23.127,22.121,21.115,20.109,19.0828,18.0566,17.0304,16.0042,14.978,14.7348,14.4916,14.2484,14.0052,13.762,13.9094,14.0568,14.2042,14.3516,14.499,13.7182,
Central Europe and the Baltics,CEB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,44.85440539,43.8244954,42.72050215,44.10247542,45.51001526,46.95406823,48.42265816,49.91243694,48.61900278,47.31738922,46.04610606,44.79031488,43.52300841,44.5889567,45.60099843,46.53600588,47.34776473,48.05005104,47.4100009,46.92630551,46.72881166,46.87112383,47.23044904,47.55826338,47.74518253,47.67969921,47.32758039,46.74288138,45.06131413,43.41946999,41.88413519,40.51218569,39.15447967,36.60371877,34.09329696,31.56348911,29.02211089,26.44010577,25.12977958,23.84991126,22.6694739,21.49070279,20.36162517,20.50493131,20.62542093,20.67877759,20.6445927,20.4857012,19.57685611,18.67230625,17.8200044,17.04126564,16.35721132,15.95444132,
Switzerland,CHE,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,18.0118,18.7704,19.529,20.0324,20.5358,21.0392,21.5426,22.046,21.554,21.062,20.57,20.078,19.586,17.9444,16.3028,14.6612,13.0196,11.378,10.866,10.354,9.842,9.33,8.818,8.3148,7.8116,7.3084,6.8052,6.302,6.3494,6.3968,6.4442,6.4916,6.539,6.3686,6.1982,6.0278,5.857399,5.687,5.618,5.549,5.48,5.411001,5.342,5.1742,5.0064,4.8386,4.6708,4.503,3.9824,3.4618,2.9412,2.4206,1.9,1.7432,
Channel Islands,CHI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,26.7686,27.5188,28.269,27.8276,27.3862,26.9448,26.5034,26.062,24.9498,23.8376,22.7254,21.6132,20.501,19.7618,19.0226,18.2834,17.5442,16.805,16.6196,16.4342,16.2488,16.0634,15.878,16.114,16.35,16.586,16.822,17.058,16.9692,16.8804,16.7916,16.7028,16.614,16.0464,15.4788,14.9112,14.3436,13.776,13.3964,13.0168,12.6372,12.2576,11.878,11.4848,11.0916,10.6984,10.3052,9.912,9.5432,9.174399,8.805599,8.436799,8.068,7.674,
Chile,CHL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,87.81741,87.85721,87.897,86.8772,85.8574,84.8376,83.8178,82.798,83.0584,83.3188,83.5792,83.8396,84.1,81.5204,78.9408,76.36121,73.78161,71.202,69.8218,68.4416,67.06139,65.68119,64.301,64.2404,64.1798,64.1192,64.0586,63.998,64.8184,65.63879,66.45919,67.27959,68.1,67.8604,67.6208,67.3812,67.14159,66.902,65.8416,64.7812,63.7208,62.6604,61.6,60.984,60.368,59.752,59.136,58.52,57.873,57.226,56.579,55.932,55.285,54.8482,
China,CHN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,67.78899,66.27999,64.771,61.5582,58.3454,55.1326,51.9198,48.707,44.8646,41.0222,37.1798,33.3374,29.495,26.6786,23.8622,21.0458,18.2294,15.413,16.2344,17.0558,17.8772,18.6986,19.52,20.5586,21.5972,22.6358,23.6744,24.713,20.8724,17.0318,13.1912,9.350601,5.51,5.5904,5.6708,5.7512,5.8316,5.912,6.2256,6.5392,6.8528,7.1664,7.48,7.6596,7.8392,8.0188,8.1984,8.378,8.4126,8.4472,8.4818,8.5164,8.551,8.5818,
Cote d'Ivoire,CIV,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,222.6166,220.8988,219.181,218.4596,217.7382,217.0168,216.2954,215.574,215.777,215.98,216.183,216.386,216.589,216.205,215.821,215.437,215.053,214.669,210.4158,206.1626,201.9094,197.6562,193.403,187.5426,181.6822,175.8218,169.9614,164.101,159.2232,154.3454,149.4676,144.5898,139.712,137.3926,135.0732,132.7538,130.4344,128.115,127.523,126.931,126.339,125.747,125.155,125.2348,125.3146,125.3944,125.4742,125.554,126.4944,127.4348,128.3752,129.3156,130.256,126.353,
Cameroon,CMR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,171.3492,173.0226,174.696,176.3812,178.0664,179.7516,181.4368,183.122,184.4582,185.7944,187.1306,188.4668,189.803,190.525,191.247,191.969,192.691,193.413,194.1878,194.9626,195.7374,196.5122,197.287,196.1244,194.9618,193.7992,192.6366,191.474,188.7156,185.9572,183.1988,180.4404,177.682,174.6712,171.6604,168.6496,165.6388,162.628,160.3304,158.0328,155.7352,153.4376,151.14,147.0562,142.9724,138.8886,134.8048,130.721,127.7446,124.7682,121.7918,118.8154,115.839,113.3054,
"Congo, Rep.",COG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,137.061,138.003,138.945,139.8868,140.8286,141.7704,142.7122,143.654,144.1228,144.5916,145.0604,145.5292,145.998,145.998,145.998,145.998,145.998,145.998,144.6106,143.2232,141.8358,140.4484,139.061,138.0076,136.9542,135.9008,134.8474,133.794,133.1326,132.4712,131.8098,131.1484,130.487,131.149,131.811,132.473,133.135,133.797,134.6102,135.4234,136.2366,137.0498,137.863,136.382,134.901,133.42,131.939,130.458,129.7114,128.9648,128.2182,127.4716,126.725,124.9294,
Colombia,COL,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,127.994,127.994,127.994,126.1352,124.2764,122.4176,120.5588,118.7,112.9396,107.1792,101.4188,95.6584,89.898,89.2178,88.5376,87.8574,87.1772,86.497,85.3178,84.1386,82.9594,81.7802,80.601,79.9214,79.2418,78.56219,77.88259,77.203,79.2224,81.2418,83.2612,85.2806,87.3,88.1802,89.0604,89.94061,90.82081,91.701,92.5012,93.3014,94.1016,94.9018,95.702,91.4214,87.1408,82.8602,78.5796,74.299,73.1466,71.9942,70.8418,69.68941,68.537,67.5248,
Comoros,COM,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,89.5726,90.3858,91.199,91.5712,91.9434,92.3156,92.6878,93.06,93.06,93.06,93.06,93.06,93.06,93.06,93.06,93.06,93.06,93.06,93.06,93.06,93.06,93.06,93.06,90.288,87.516,84.744,81.97199,79.2,77.1188,75.0376,72.9564,70.8752,68.794,68.3276,67.8612,67.3948,66.9284,66.462,65.8884,65.3148,64.7412,64.16759,63.594,62.478,61.362,60.246,59.13,58.014,56.6362,55.2584,53.8806,52.5028,51.125,49.997,
Cabo Verde,CPV,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,116.637,117.344,118.051,118.0258,118.0006,117.9754,117.9502,117.925,117.5814,117.2378,116.8942,116.5506,116.207,115.3642,114.5214,113.6786,112.8358,111.993,111.052,110.111,109.17,108.229,107.288,107.633,107.978,108.323,108.668,109.013,109.0046,108.9962,108.9878,108.9794,108.971,108.3342,107.6974,107.0606,106.4238,105.787,103.5596,101.3322,99.1048,96.8774,94.65,92.0334,89.4168,86.8002,84.1836,81.567,79.3728,77.1786,74.98441,72.79021,70.596,69.0564,
Costa Rica,CRI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,123.3282,124.1676,125.007,121.5666,118.1262,114.6858,111.2454,107.805,107.1446,106.4842,105.8238,105.1634,104.503,104.7058,104.9086,105.1114,105.3142,105.517,103.994,102.471,100.948,99.425,97.902,98.3616,98.82121,99.28081,99.74041,100.2,98.8596,97.5192,96.17879,94.83839,93.498,92.353,91.208,90.063,88.91801,87.773,85.5044,83.2358,80.9672,78.6986,76.43,74.2706,72.1112,69.9518,67.7924,65.633,64.6652,63.6974,62.7296,61.7618,60.794,60.0078,
